id,budget,original_language,original_title,popularity,production_companies,revenue,vote_average,vote_count,score
19995,237000000,en,Avatar,150.437577,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",2787965087,7.2,11800,7.050669301008783
285,300000000,en,Pirates of the Caribbean: At World's End,139.082615,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",961000000,6.9,4500,6.665696105464818
206647,245000000,en,Spectre,107.376788,"['Columbia Pictures', 'Danjaq', 'B24']",880674609,6.3,4466,6.23939600832406
49026,250000000,en,The Dark Knight Rises,112.31295,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",1084939099,7.6,9106,7.346720532407277
49529,260000000,en,John Carter,43.926995,['Walt Disney Pictures'],284139100,6.1,2124,6.0963679070457815
559,258000000,en,Spider-Man 3,115.699814,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",890871626,5.9,3576,5.9652497404843015
38757,260000000,en,Tangled,48.681969,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",591794936,7.4,3330,6.934805393328341
99861,280000000,en,Avengers: Age of Ultron,134.279229,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",1405403694,7.3,6767,7.04196762438448
767,250000000,en,Harry Potter and the Half-Blood Prince,98.885637,"['Warner Bros.', 'Heyday Films']",933959197,7.4,5293,7.0628555676134
209112,250000000,en,Batman v Superman: Dawn of Justice,155.790452,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",873260194,5.7,7004,5.781535351813784
1452,270000000,en,Superman Returns,57.925623,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",391081192,5.4,1400,5.792937313141737
10764,200000000,en,Quantum of Solace,107.928811,['Eon Productions'],586090727,6.1,2965,6.097003829553691
58,200000000,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",1065659812,7.0,5246,6.764418750335695
57201,255000000,en,The Lone Ranger,49.046956,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",89289910,5.9,2311,5.985141995198873
49521,225000000,en,Man of Steel,99.398009,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']",662845518,6.5,6359,6.408537852840925
2454,225000000,en,The Chronicles of Narnia: Prince Caspian,53.978602,"['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']",419651413,6.3,1630,6.189842058262657
24428,220000000,en,The Avengers,144.448633,"['Paramount Pictures', 'Marvel Studios']",1519557910,7.4,11776,7.223399356187434
1865,380000000,en,Pirates of the Caribbean: On Stranger Tides,135.413856,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",1045713802,6.4,4948,6.316610897512407
41154,225000000,en,Men in Black 3,52.035179,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",624026776,6.2,4160,6.166952553160543
122917,250000000,en,The Hobbit: The Battle of the Five Armies,120.965743,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']",956019788,7.1,4760,6.819205897623393
1930,215000000,en,The Amazing Spider-Man,89.866276,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",752215857,6.5,6586,6.411002349707777
20662,200000000,en,Robin Hood,37.668301,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']",310669540,6.2,1398,6.138749287751268
57158,250000000,en,The Hobbit: The Desolation of Smaug,94.370564,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",958400000,7.6,4524,7.1643166407139125
2268,180000000,en,The Golden Compass,42.990906,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']",372234864,5.8,1303,5.970983699903929
254,207000000,en,King Kong,61.22601,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']",550000000,6.6,2337,6.376406618498395
597,200000000,en,Titanic,100.025899,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",1845034188,7.5,7562,7.224676417479916
271110,250000000,en,Captain America: Civil War,198.372395,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",1153304495,7.1,7241,6.895934554582704
44833,209000000,en,Battleship,64.928382,"['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",303025485,5.5,2114,5.775439782126861
135397,150000000,en,Jurassic World,418.708552,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",1513528810,6.5,8662,6.428597786263209
37724,200000000,en,Skyfall,93.004993,['Columbia Pictures'],1108561013,6.9,7604,6.7427188209436375
558,200000000,en,Spider-Man 2,35.149586,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",783766341,6.7,4321,6.5185810622590195
68721,200000000,en,Iron Man 3,77.68208,['Marvel Studios'],1215439994,6.8,8806,6.677750572590114
12155,200000000,en,Alice in Wonderland,78.530105,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",1025491110,6.4,4645,6.312713729660087
36668,210000000,en,X-Men: The Last Stand,3.857526,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Major Studio Partners', 'Bad Hat Harry Productions', 'thinkfilm', 'Marvel Enterprises', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service']",459359555,6.3,3525,6.228763134369654
62211,200000000,en,Monsters University,89.186492,"['Walt Disney Pictures', 'Pixar Animation Studios']",743559607,7.0,3528,6.6889997381630515
8373,150000000,en,Transformers: Revenge of the Fallen,21.939663,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",836297228,6.0,3138,6.034050356659071
91314,210000000,en,Transformers: Age of Extinction,116.840296,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",1091405097,5.8,3095,5.9088758655041556
68728,200000000,en,Oz: The Great and Powerful,46.985445,"['Walt Disney Pictures', 'Roth Films']",491868548,5.7,3530,5.834298523746032
102382,200000000,en,The Amazing Spider-Man 2,89.270217,"['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']",705717432,6.5,4179,6.375402697988865
20526,170000000,en,TRON: Legacy,73.79505,"['Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",400062763,6.3,2841,6.218350257485618
49013,200000000,en,Cars 2,49.98659,"['Walt Disney Pictures', 'Pixar Animation Studios']",559852396,5.8,2033,5.938742624083846
44912,200000000,en,Green Lantern,51.872839,"['De Line Pictures', 'Warner Bros.', 'DC Entertainment']",219851172,5.1,2487,5.521696997937347
10193,200000000,en,Toy Story 3,59.995418,"['Walt Disney Pictures', 'Pixar Animation Studios']",1066969703,7.6,4597,7.169258817614788
534,200000000,en,Terminator Salvation,71.862892,"['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']",371353001,5.9,2463,5.982133304244711
168259,190000000,en,Furious 7,102.322217,"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']",1506249360,7.3,4176,6.930807427985867
72190,200000000,en,World War Z,81.834855,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']",531865000,6.7,5560,6.54896304537173
